word,level,id
aid,2,0
atlas,2,1
balance,2,2
bar,2,3
bascule,2,4
bench,2,5
bib,2,6
blinker,2,7
bolt,2,8
bounce,2,9
bulb,2,10
canine,2,11
clip,2,12
collection,2,13
colt,2,14
coop,2,15
cream,2,16
crest,2,17
cribbing,2,18
curb,2,19
dam,2,20
diagonal,2,21
dish,2,22
ermine,2,23
extension,2,24
flash,2,25
float,2,26
forging,2,27
horn,2,28
hunter,2,29
keeper,2,30
panel,2,31
poll,2,32
port,2,33
roach,2,34
runner,2,35
shire,2,36
skirt,2,37
sole,2,38
splint,2,39
vault,2,40
weave,2,41
suspension,2,42
ring,2,43
rubber,2,44
balding,2,45
scratches,2,46
lead,2,47
hitch,2,48
hack,2,49
draft,2,50
coach,2,51
cast,2,52
barrel,1,0
bay,1,1
bit,1,2
blanket,1,3
blaze,1,4
boot,1,5
brush,1,6
cannon,1,7
chestnut,1,8
crop,1,9
dock,1,10
fall,1,11
feather,1,12
fence,1,13
frog,1,14
hand,1,15
harness,1,16
jumper,1,17
mount,1,18
muzzle,1,19
pole,1,20
polo,1,21
pony,1,22
ribbon,1,23
sock,1,24
star,1,25
stocking,1,26
team,1,27
tree,1,28
whorl,1,29
wing,1,30
buck,1,31
fjord,1,32
tack,1,33
rear,1,34
halter,1,35
